WBGene00191581	15.5
WBGene00160180	14.5
WBGene00149288	14.5
WBGene00144544	14.5
WBGene00140355	14.4
WBGene00194217	14.3
WBGene00219328	14.0
WBGene00164792	14.0
WBGene00164080	13.7
WBGene00143190	13.7
WBGene00139578	13.7
WBGene00158100	13.6
WBGene00159170	13.5
WBGene00146600	13.5
WBGene00192106	13.4
WBGene00140532	13.4
WBGene00164932	13.3
WBGene00148904	13.3
WBGene00143503	13.3
WBGene00147850	13.2
WBGene00161518	13.1
WBGene00147202	13.0
WBGene00145079	13.0
WBGene00195126	12.9
WBGene00162721	12.9
WBGene00161081	12.9
WBGene00157233	12.9
WBGene00142444	12.9
WBGene00195127	12.8
WBGene00195125	12.8
WBGene00194968	12.8
WBGene00193667	12.8
WBGene00193327	12.8
WBGene00156760	12.8
WBGene00163248	12.7
WBGene00162428	12.7
WBGene00158497	12.7
WBGene00155043	12.7
WBGene00153549	12.7
WBGene00146717	12.7
WBGene00185033	12.6
WBGene00164613	12.6
WBGene00164001	12.6
WBGene00162019	12.6
WBGene00157961	12.6
WBGene00153714	12.6
WBGene00148314	12.6
WBGene00142354	12.6
WBGene00141326	12.6
WBGene00193709	12.5
WBGene00175043	12.5
WBGene00161032	12.5
WBGene00158098	12.5
WBGene00156798	12.5
WBGene00154928	12.5
WBGene00154570	12.5
WBGene00154362	12.5
WBGene00150057	12.5
WBGene00149798	12.5
WBGene00193706	12.4
WBGene00192100	12.4
WBGene00158475	12.4
WBGene00157878	12.4
WBGene00156543	12.4
WBGene00155738	12.4
WBGene00155056	12.4
WBGene00154268	12.4
WBGene00151467	12.4
WBGene00151200	12.4
WBGene00149329	12.4
WBGene00144138	12.4
WBGene00143042	12.4
WBGene00192924	12.3
WBGene00192547	12.3
WBGene00191366	12.3
WBGene00190581	12.3
WBGene00190119	12.3
WBGene00155527	12.3
WBGene00150754	12.3
WBGene00149784	12.3
WBGene00144956	12.3
WBGene00194745	12.2
WBGene00192579	12.2
WBGene00192534	12.2
WBGene00191584	12.2
WBGene00191458	12.2
WBGene00191291	12.2
WBGene00163473	12.2
WBGene00162855	12.2
WBGene00162745	12.2
WBGene00155906	12.2
WBGene00155262	12.2
WBGene00151812	12.2
WBGene00144705	12.2
